id name d_price,d_vol,d_trades,d_min,d_max ds_price,ds_vol,ds_trades h_price,h_vol,h_trades
0 air 0,0,0,0,0 0,0,0 0,0,0
1 stone 508,737837,11820,20,1000000 29565,722432,11288 30207,201802,3246
2 granite 1616,34103,708,20.5,390625 112714,28544,446 997,6386,135
3 polished_granite 3110,24123,408,31.25,310938 206186,22336,349 1359,5600,91
4 diorite 1203,159811,2659,25,156250 76603,153280,2395 1566,35164,593
5 polished_diorite 1511,167527,2656,78.12,25000 96817,164864,2576 1238,52200,826
6 andesite 1749,96696,1683,20.83,100000 110620,91008,1422 1631,20747,372
7 polished_andesite 2579,148049,2356,33.33,80000 165642,145856,2279 2630,27345,446
8 deepslate 252,572821,10414,15.62,1000000 14310,476416,7444 277,172006,3065
9 cobbled_deepslate 167,662928,10773,21.87,7000000 9368,629056,9829 192,165973,2704
10 polished_deepslate 630,287797,4587,31.25,29500 39960,278400,4350 482,77474,1240
11 calcite 719,208680,3435,38.46,100000 45465,196416,3069 609,59547,972
12 tuff 3757,208020,3465,22,9375000 249308,196864,3076 678,56766,946
13 tuff_slab 9509,40004,634,31.25,1546875 628140,38592,603 969,3169,50
14 tuff_stairs 6063,11772,187,387,15625 395011,11200,175 5008,1680,27
15 tuff_wall 7438,14023,224,469,23438 471864,13632,213 3841,3399,56
16 chiseled_tuff 4353,23016,377,159,15000 280228,21888,342 3380,2842,48
17 polished_tuff 1848,75186,1219,48.38,46875 118503,71872,1123 2277,11177,183
18 polished_tuff_slab 63889,10202,177,156,6875000 4382993,9280,145 4047,2002,34
19 polished_tuff_stairs 4207,20324,322,313,200000 259003,19840,310 5179,2171,34
20 polished_tuff_wall 8709,5370,85,781,31250 559831,5312,83 11146,1093,19
21 tuff_bricks 1188,118562,1936,16.66,60000 75614,113600,1775 777,31317,506
22 tuff_brick_slab 6787,6509,105,31.25,78125 418780,5888,92 6493,1047,18
23 tuff_brick_stairs 4393,8556,142,625,25000 286566,8128,127 4166,1742,30
24 tuff_brick_wall 20141,10837,172,385,1546875 1322744,10496,164 6998,1909,30
25 chiseled_tuff_bricks 3369,43277,709,78.12,100000 214135,42048,657 2100,7702,127
26 dripstone_block 1248,24862,526,31.25,59000 73225,19840,310 1162,4422,111
27 grass_block 1559,323416,5852,123,100000000 74931,305216,4769 724,92511,1689
28 dirt 152308,712590,12938,60,26019999252 21587,683264,10676 2662,239191,4195
29 coarse_dirt 1341,31654,587,50,88999 80894,29760,465 1470,10476,170
