item,bid_now,ah_now,bid_trend,ah_lag,bid_vs_ah,headroom,peak_bid,trades_day,units_day,finite,score
soul_sand,222,989,3.04,0.15,0.22,1.0,222,12778,282456,,13.26
dispenser,2100,2200,1.31,0.86,0.95,47.6,100000,12189,190276,,10.46
piston,1000,2100,0.87,0.34,0.48,3.6,3600,15960,413236,,7.3
sticky_piston,1200,1700,0.8,0.18,0.71,3.4,4100,11586,214402,,6.11
bamboo,14,3600,0.9,1.2,0.0,21.4,300,5824,350849,,4.29
redstone_block,1600,1800,0.73,0.26,0.89,2.5,4000,9687,154981,,3.88
experience_bottle,5200,8900,0.9,1.17,0.58,4.8,25000,37910,1030863,,3.53
repeater,2000,9500,1.43,1.26,0.21,2.5,5000,13457,240365,,3.39
filled_map,3000,3200,1.88,0.82,0.94,1.0,3100,237966,293982,,3.23
hopper,2300,3600,0.84,0.53,0.64,2.2,5000,32414,870368,,3.16
blackstone,851,6000,0.77,0.15,0.14,1.8,1500,5850,351546,,3.0
iron_block,2300,3100,0.54,0.35,0.74,2.9,6700,15090,251217,,2.9
respawn_anchor,17200,20000,0.55,0.56,0.86,3.5,60000,5522,164388,,2.55
observer,1300,2500,1.04,1.0,0.52,2.4,3100,22683,494942,,2.53
ghast_tear,9400,40000,0.7,0.53,0.23,2.2,21000,634,18820,,2.46
totem_of_undying,91200,83000,0.82,0.73,1.1,2.4,220000,24083,24083,,2.43
bone,147,25000,0.96,0.91,0.01,2.0,300,4790,286684,,2.11
shulker_box,1600,2300,0.8,0.7,0.7,1.9,3100,26223,26223,,1.99
tnt,1600,12900,0.86,0.92,0.12,2.0,3200,22975,871838,,1.74
map,5000,14000,1.08,0.72,0.36,1.1,5500,37807,785373,,1.7
ender_pearl,52,990,1.3,1.06,0.05,1.2,61,35849,494027,,1.64
comparator,2500,7500,1.19,0.96,0.33,1.2,3000,8689,122328,,1.62
lapis_block,420,99000,0.93,2.04,0.0,3.6,1500,2051,96025,,1.58
dropper,640,24200,1.68,3.27,0.03,2.3,1500,6550,219275,,1.57
beacon,125000,150000,0.89,0.75,0.83,1.4,171000,1835,31906,,1.52
coal_block,1200,30000,0.55,0.67,0.04,2.5,3000,3264,119166,,1.51
ancient_debris,1300000,1300000,0.76,0.72,1.0,1.6,2100000,2516,10173,structure block or mob head,1.5
golden_apple,16400,18600,0.87,0.75,0.88,1.3,22000,13709,303957,,1.44
end_crystal,14500,24400,0.87,0.98,0.59,1.7,24700,18141,423402,,1.41
netherite_block,46200000,46200000,0.73,0.72,1.0,1.6,72400000,1476,1548,,1.37
pink_petals,4,10000,0.67,0.8,0.0,2.0,8,1779,108244,,1.36
bone_block,500,23100,1.04,0.91,0.02,1.2,584,11476,625747,,1.35
gold_block,20600,29900,0.94,0.85,0.69,1.2,25000,5842,151938,,1.3
netherite_ingot,5200000,5300000,0.74,0.75,0.98,1.5,7600000,4726,6212,,1.25
skeleton_skull,233000,438000,1.33,1.53,0.53,1.2,290000,1411,6719,,1.25
piglin_head,525000,614000,1.27,1.33,0.86,1.1,600000,2882,23798,,1.24
dragon_head,57100000,58600000,1.1,1.12,0.97,1.1,63300000,1400,1440,structure block or mob head,1.15
wither_skeleton_skull,35000,45000,1.12,0.9,0.78,2.9,100000,0,0,,1.13
enchanted_golden_apple,1500000,1600000,1.15,1.19,0.94,1.1,1600000,2378,16384,structure block or mob head,1.12
ender_chest,2700,5300,0.18,0.26,0.51,9.3,25000,19648,67561,,1.12
mace,9500000,4100000,1.13,1.08,2.32,1.0,9500000,11164,11164,,1.11
elytra,394000000,394000000,1.14,1.13,1.0,1.0,395000000,3510,3510,structure block or mob head,1.08
creeper_head,214000,280000,0.96,1.0,0.76,1.1,242000,1606,10836,,1.06
wet_sponge,241000,350000,1.04,1.17,0.69,1.2,280000,536,1305,structure block or mob head,1.06
diamond_block,48100,70000,1.05,1.4,0.69,1.4,65000,11476,302490,,1.03
heavy_core,3700000,4200000,1.07,1.12,0.88,1.0,3800000,758,1055,structure block or mob head,1.02
sponge,253000,395000,1.07,1.33,0.64,1.2,291000,2699,20495,structure block or mob head,0.97
emerald_block,22100,43000,0.94,1.11,0.51,1.1,25000,6385,230120,,0.93
shulker_shell,2800,39000,0.66,0.95,0.07,1.6,4500,2180,126728,,0.91
crafter,5300,19000,1.28,2.35,0.28,1.3,7000,8329,234042,,0.81
spruce_log,72,6900,0.87,1.25,0.01,1.2,86,15463,889378,,0.77
zombie_head,250000,658000,1.11,2.24,0.38,1.2,305000,1407,8211,,0.63
bamboo_block,132,30000,0.99,2.0,0.0,1.1,150,2235,133218,,0.56
obsidian,313,5000,0.2,1.01,0.06,10.2,3200,23728,630640,,0.54
