item,price,price_src,ah_value,units_per_day,trades_per_day,pull,capture,thinness,corner_cost,bid_change_pct,bid_now,top_outputs
stick,5.0,orders,313.0,466981,8234,48063383983,9612676796.6,102924,2334905,,,"powered_rail(10,483,440,000); white_banner(3,096,320,000); black_banner(2,286,250,000)"
ender_eye,10.0,orders,3109.0,94772,2025,14210873000,1421087300.0,149948,947720,,,"end_crystal(11,643,555,000); ender_chest(2,567,318,000)"
flint,5.1,orders,1563.0,46833,1749,5692757750,1116227009.8,121554,238848,,,"fletching_table(460,355,000); fletching_table(460,355,000); fletching_table(460,355,000)"
soul_sand,85.0,orders,781.0,282456,12778,48691101250,572836485.3,172385,24008760,63.5,85,"soul_campfire(1,128,000,000); soul_campfire(1,128,000,000); soul_campfire(1,128,000,000)"
bookshelf,50.0,orders,16900.0,139465,9926,23524200000,470484000.0,168675,6973250,,,"lectern(1,960,350,000); lectern(1,960,350,000); lectern(1,960,350,000)"
wither_rose,1.0,orders,30000.0,27363,967,402773509,402773509.0,14720,27363,,,"black_dye(384,963,509); suspicious_stew(17,810,000)"
cobbled_deepslate,10.0,orders,313.0,662928,10773,2505807243,250580724.3,3780,6629280,,,"silence_armor_trim_smithing_template(2,280,120,795); ward_armor_trim_smithing_template(125,685,000); brewing_stand(48,588,981)"
mud,1.0,orders,3031.0,232764,4212,212127655,212127655.0,911,232764,,,"packed_mud(209,880,256); muddy_mangrove_roots(2,247,399)"
furnace,95.3,ah,156.0,452920,8022,18881142384,198102427.7,41688,43167805,,,"smoker(423,644,562); smoker(423,644,562); smoker(423,644,562)"
black_wool,30.0,orders,2969.0,183946,3041,5769540014,192318000.5,31365,5518380,,,"painting(716,800,000); light_blue_wool(520,294,951); red_wool(512,787,492)"
stone,14.0,orders,547.0,737837,11820,2497190700,178370764.3,3384,10329718,,,"repeater(1,201,825,000); comparator(815,520,000); stone_button(232,486,074)"
iron_ingot,170.0,orders,677.0,614588,12891,24426177400,143683396.5,39744,104479960,,,"piston(1,420,705,368); piston(1,420,705,368); piston(1,420,705,368)"
cornflower,1.0,orders,4170.0,9960,592,141144426,141144426.0,14171,9960,,,"blue_dye(123,334,426); suspicious_stew(17,810,000)"
slime_ball,40.0,orders,469.0,107749,1882,4891629590,122290739.8,45398,4309960,,,"sticky_piston(3,430,217,598); slime_block(1,327,385,000); magma_cream(134,026,992)"
brown_mushroom,10.0,orders,469.0,32223,1172,1108483315,110848331.5,34400,322230,,,"fermented_spider_eye(807,949,315); suspicious_stew(17,810,000); suspicious_stew(17,810,000)"
spruce_planks,32.0,orders,156.0,453483,7303,3374238385,105444949.5,7441,14511456,,,"piston(473,568,456); bookshelf(392,826,417); loom(305,717,500)"
redstone,360.9,ah,467.0,727721,17641,36984198416,102483369.6,50822,262619954,,,"powered_rail(10,483,440,000); repeater(3,605,475,000); piston(1,420,705,368)"
tuff,1.0,orders,750.0,208020,3465,90119733,90119732.8,433,208020,,,"polished_tuff(58,739,062); tuff_slab(14,588,125); tuff_wall(9,128,973)"
apple,90.0,orders,2813.0,210916,3801,7200133416,80001482.4,34137,18982440,,,"golden_apple(7,200,133,416)"
string,72.0,orders,625.0,167401,3226,4763407649,66158439.6,28455,12052872,,,"bundle(412,335,000); loom(305,717,500); loom(305,717,500)"
oak_planks,52.0,orders,305.0,197728,3226,3432755795,66014534.5,17361,10281856,,,"oak_fence_gate(477,698,438); piston(473,568,456); bookshelf(392,826,417)"
glowstone_dust,10.0,orders,781.0,95056,2295,617056937,61705693.7,6492,950560,,,"glowstone(600,992,626); spectral_arrow(16,064,311)"
acacia_planks,45.0,orders,430.0,13690,237,2738369254,60852650.1,200027,616050,,,"piston(473,568,456); bookshelf(392,826,417); loom(305,717,500)"
azure_bluet,1.0,orders,1133.0,5219,230,60535595,60535595.0,11599,5219,,,"light_gray_dye(42,725,595); suspicious_stew(17,810,000)"
coal,200.0,orders,623.0,400411,6826,11358425950,56792129.8,28367,80082200,,,"torch(317,278,598); campfire(252,861,262); campfire(252,861,262)"
stone_bricks,5.0,orders,469.0,504609,7949,242916022,48583204.5,481,2523045,,,"mossy_stone_bricks(75,025,926); mossy_stone_bricks(75,025,926); stone_brick_slab(45,513,448)"
tripwire_hook,51.0,orders,1547.0,90120,3150,2476200000,48552941.2,27477,4596120,,,"trapped_chest(2,476,200,000)"
honeycomb,100.0,orders,1555.0,104145,1877,4832969462,48329694.6,46406,10414500,,,"waxed_oxidized_copper_trapdoor(855,900,000); waxed_weathered_copper(503,550,000); waxed_oxidized_copper(416,319,118)"
crafting_table,25.0,orders,625.0,383443,13912,1206720552,48268822.1,3147,9586075,,,"crafter(1,206,720,552)"
cobblestone,131.4,ah,155.0,837194,13874,6244631736,47538304.9,7459,109973804,,,"coast_armor_trim_smithing_template(459,000,000); diorite(437,003,180); piston(355,176,342)"
gunpowder,47.0,orders,266.0,252431,5054,1975098437,42023371.0,7824,11864257,,,"tnt(681,079,846); tnt(681,079,846); firework_rocket(582,951,028)"
black_dye,90.0,orders,2969.0,129661,3101,3307521513,36750239.0,25509,11669490,,,"black_stained_glass(1,084,975,000); black_wool(546,135,674); black_terracotta(415,914,554)"
gravel,10.0,orders,430.0,165594,2915,356871632,35687163.2,2155,1655940,,,"purple_concrete_powder(72,477,652); red_concrete_powder(45,064,572); white_concrete_powder(31,192,079)"
allium,1.0,orders,1000.0,5157,184,33376495,33376495.0,6472,5157,,,"suspicious_stew(17,810,000); magenta_dye(15,566,495)"
torch,10.0,orders,547.0,580034,10737,324788248,32478824.8,560,5800340,,,"lantern(204,788,248); jack_o_lantern(120,000,000)"
moss_block,8.1,orders,188.0,494994,7930,224737032,27745312.5,454,4009451,,,"mossy_cobblestone(100,759,934); mossy_stone_bricks(75,025,926); moss_carpet(48,951,172)"
prismarine_shard,23.0,orders,1172.0,13677,241,608017147,26435528.1,44455,314571,,,"sea_lantern(433,692,188); prismarine(100,051,834); prismarine_bricks(39,227,090)"
white_wool,103.0,orders,1563.0,274007,5798,2506081758,24330890.9,9146,28222721,,,"painting(716,800,000); white_banner(516,053,333); white_carpet(288,888,424)"
smooth_stone_slab,15.1,orders,391.0,222467,3557,353787007,23429603.1,1590,3359252,,,"armor_stand(353,787,007)"
dark_oak_wood,25.0,orders,15625.0,5317,89,566198228,22647929.1,106488,132925,,,"soul_campfire(376,000,000); smoker(105,911,140); campfire(84,287,087)"
prismarine_bricks,1.5,orders,3906.0,90385,1542,33137807,21945567.3,367,136481,,,"prismarine_brick_stairs(23,127,390); prismarine_brick_slab(10,010,417)"
blue_wool,70.0,orders,4688.0,66517,1139,1519369723,21705281.8,22842,4656190,,,"painting(716,800,000); black_wool(546,135,674); blue_carpet(117,453,349)"
gold_ingot,600.0,orders,2813.0,196989,5897,12686425743,21144042.9,64402,118193400,,,"netherite_ingot(9,318,000,000); powered_rail(1,747,240,000); golden_apple(900,016,677)"
