raw,buy,buy_src,chain,out,units_per_raw,other_cost_per_raw,value_med_per_raw,value_con_per_raw,profit_med_per_raw,profit_con_per_raw,out_vol_day,out_trades_day,out_med,out_con
spruce_log,72.0,orders,(sell raw as-is on AH),spruce_log,1,0,328.0,192.0,256.0,120.0,889378,15463,328.0,192.0
spruce_log,72.0,orders,spruce_log x1 -> spruce_planks x4 -> purple_bed x1,purple_bed,1.333,12124.0,238666.7,226666.7,226470.7,214470.7,320,320,179000.0,170000.0
spruce_log,72.0,orders,spruce_log x1 -> spruce_planks x4 -> green_bed x1,green_bed,1.333,2004.4,133333.3,133333.3,131256.9,131256.9,374,374,100000.0,100000.0
spruce_log,72.0,orders,spruce_log x1 -> spruce_planks x4 -> black_bed x1,black_bed,1.333,120.0,120000.0,117333.3,119808.0,117141.3,1962,1962,90000.0,88000.0
spruce_log,72.0,orders,spruce_log x1 -> spruce_planks x4 -> brown_bed x1,brown_bed,1.333,18345.0,148573.3,133333.3,130156.3,114916.3,188,188,111430.0,100000.0
spruce_log,72.0,orders,spruce_log x1 -> spruce_planks x4 -> loom x1,loom,2.0,288.0,110000.0,100000.0,109640.0,99640.0,11117,900,55000.0,50000.0
spruce_log,72.0,orders,spruce_log x1 -> spruce_planks x4 -> cyan_bed x1,cyan_bed,1.333,9375.0,105333.3,105333.3,95886.3,95886.3,229,229,79000.0,79000.0
oak_log,85.06,orders,(sell raw as-is on AH),oak_log,1,0,625.0,625.0,539.9,539.9,292085,5428,625.0,625.0
oak_log,85.06,orders,oak_log x1 -> oak_planks x4 -> purple_bed x1,purple_bed,1.333,12124.0,238666.7,226666.7,226457.6,214457.6,320,320,179000.0,170000.0
oak_log,85.06,orders,oak_log x1 -> oak_planks x4 -> green_bed x1,green_bed,1.333,2004.4,133333.3,133333.3,131243.9,131243.9,374,374,100000.0,100000.0
oak_log,85.06,orders,oak_log x1 -> oak_planks x4 -> black_bed x1,black_bed,1.333,120.0,120000.0,117333.3,119794.9,117128.3,1962,1962,90000.0,88000.0
oak_log,85.06,orders,oak_log x1 -> oak_planks x4 -> brown_bed x1,brown_bed,1.333,18345.0,148573.3,133333.3,130143.3,114903.3,188,188,111430.0,100000.0
oak_log,85.06,orders,oak_log x1 -> oak_planks x4 -> loom x1,loom,2.0,288.0,110000.0,100000.0,109626.9,99626.9,11117,900,55000.0,50000.0
oak_log,85.06,orders,oak_log x1 -> oak_planks x4 -> cyan_bed x1,cyan_bed,1.333,9375.0,105333.3,105333.3,95873.3,95873.3,229,229,79000.0,79000.0
birch_log,160.0,orders,(sell raw as-is on AH),birch_log,1,0,859.0,859.0,699.0,699.0,73998,1399,859.0,859.0
birch_log,160.0,orders,birch_log x1 -> birch_planks x4 -> purple_bed x1,purple_bed,1.333,12124.0,238666.7,226666.7,226382.7,214382.7,320,320,179000.0,170000.0
birch_log,160.0,orders,birch_log x1 -> birch_planks x4 -> green_bed x1,green_bed,1.333,2004.4,133333.3,133333.3,131168.9,131168.9,374,374,100000.0,100000.0
birch_log,160.0,orders,birch_log x1 -> birch_planks x4 -> black_bed x1,black_bed,1.333,120.0,120000.0,117333.3,119720.0,117053.3,1962,1962,90000.0,88000.0
birch_log,160.0,orders,birch_log x1 -> birch_planks x4 -> brown_bed x1,brown_bed,1.333,18345.0,148573.3,133333.3,130068.3,114828.3,188,188,111430.0,100000.0
birch_log,160.0,orders,birch_log x1 -> birch_planks x4 -> loom x1,loom,2.0,288.0,110000.0,100000.0,109552.0,99552.0,11117,900,55000.0,50000.0
birch_log,160.0,orders,birch_log x1 -> birch_planks x4 -> cyan_bed x1,cyan_bed,1.333,9375.0,105333.3,105333.3,95798.3,95798.3,229,229,79000.0,79000.0
cobblestone,131.36,ah,(sell raw as-is on AH),cobblestone,1,0,155.0,96.15,23.6,-35.2,837194,13874,155.0,96.15
