output,out_n,inputs,cost,sell_unit,sell_channel,revenue,profit_per_craft,margin_pct,profit_per_input_item,crafts_per_hr_per_line,profit_per_hr_per_line,out_daily_ah_units,out_daily_trades,max_profit_per_day_by_volume,ah_single_sell,sell_basis,out_n_tx,stale_order_input
netherite_ingot,9,netherite_block x1 @50600000o,50600000.0,6000000.0,ah,54000000.0,3400000.0,6.7,3400000.0,9000,30600000000,6212,4726,2346755556,6000000.0,tx_med,15,
orange_harness,1,orange_dye x1 @1402a + black_harness x1 @100000a,101402.1,3000000.0,ah,3000000.0,2898598.0,2858.5,1449298.98,4500,13043690775,21,21,60870557,3000000.0,tx_med,15,
weathered_cut_copper_slab,6,weathered_cut_copper x3 @28125a,84375.0,457621.0,ah,2745726.0,2661351.0,3154.2,887117.0,3000,7984053000,76,4,33710446,120000.0,tx_med,6,
cherry_chest_boat,1,chest x1 @558a + cherry_boat x1 @99898a,100456.2,1500000.0,ah,1500000.0,1399543.8,1393.2,699771.89,4500,6297946965,67,67,93769433,1500000.0,tx_med,15,
orange_harness,1,leather x3 @283o + glass x2 @280o + orange_wool x1 @4313a,5721.9,3000000.0,ah,3000000.0,2994278.0,52329.7,499046.34,1500,4491417075,21,21,62879839,3000000.0,tx_med,15,STALE-JUN25
oak_chest_boat,1,chest x1 @558a + oak_boat x1 @15000a,15558.2,1000000.0,ah,1000000.0,984441.8,6327.5,492220.89,4500,4429987965,279,279,274659254,1000000.0,tx_med,15,
waxed_oxidized_copper_bars,1,oxidized_copper_bars x1 @31094a + honeycomb x1 @100o,31193.8,1000000.0,ah,1000000.0,968806.2,3105.8,484403.12,4500,4359628125,75,12,72660469,1000000.0,tx_med,15,STALE-JUN25
waxed_oxidized_copper_chain,1,oxidized_copper_chain x1 @87500a + honeycomb x1 @100o,87600.0,1000000.0,ah,1000000.0,912400.0,1041.6,456200.0,4500,4105800000,78,10,71167200,2000000.0,tx_med,15,STALE-JUN25
waxed_weathered_copper_door,1,weathered_copper_door x1 @300000a + honeycomb x1 @100o,300100.0,989800.0,ah,989800.0,689700.0,229.8,344850.0,4500,3103650000,0,0,0,1000000.0,tx_med,15,STALE-JUN25
waxed_exposed_lightning_rod,1,exposed_lightning_rod x1 @75000a + honeycomb x1 @100o,75100.0,750000.0,ah,750000.0,674900.0,898.7,337450.0,4500,3037050000,0,0,0,750000.0,tx_med,15,STALE-JUN25
pink_harness,1,pink_dye x1 @141a + black_harness x1 @100000a,100140.6,750000.0,ah,750000.0,649859.4,648.9,324929.69,4500,2924367210,20,20,12997188,750000.0,tx_med,15,
mangrove_hanging_sign,6,iron_chain x2 @1563a + stripped_mangrove_log x6 @6579a,42599.7,440000.0,ah,2640000.0,2597400.3,6097.2,324675.04,1125,2922075338,408,97,176623220,440000.0,tx_med,15,
