kind,action,item,inputs,unit_cost,unit_value,per_listing,capital_per_listing,profit_per_listing,cycle_min,profit_per_slot_hour,raw_slot_hour,grade,depth_listings_per_day,ceiling_per_hour,useful_slots,note
CRAFT,craft emerald_block and sell a stack,emerald_block,9x emerald,5004.0,27969.0,64,320256,1469760,6.0,7348800,14697600,C,359.6,11009804,1.5,
CRAFT,craft respawn_anchor and sell a stack,respawn_anchor,6x crying_obsidian + 3x glowstone,2496.0,21873.0,64,159744,1240128,6.0,6200640,12401280,C,256.9,6636138,1.07,
FLIP,"buy enchanted_golden_apple on /orders at 1,500,000, relist a stack",enchanted_golden_apple,64 x enchanted_golden_apple,1500000.0,1593750.0,64,96000000,6000000,58.1,6193548,6193548,A,25.6,6400000,1.03,order needs ~0.5h to fill
CRAFT,craft gold_block and sell a stack,gold_block,9x gold_ingot,5400.0,23438.0,64,345600,1154432,6.0,5772160,11544320,C,237.4,5709703,0.99,
CRAFT,craft silence_armor_trim_smithing_template and sell a stack,silence_armor_trim_smithing_template,7x diamond + 1x silence_armor_trim_smithing_template + 1x cobbled_deepslate,30499.5,46719.0,64,1951965,1038051,10.4,2982433,5964866,C,76.3,1649157,0.55,
CRAFT,craft sea_lantern and sell a stack,sea_lantern,4x prismarine_shard + 5x prismarine_crystals,467.0,9375.0,64,29888,570112,6.0,2850560,5701120,C,289.1,3434071,1.2,
CRAFT,craft chiseled_polished_blackstone and sell a stack,chiseled_polished_blackstone,2x polished_blackstone_slab,2344.0,7031.0,64,150016,299968,6.8,2245501,2641766,B,123.9,1315899,0.59,
CRAFT,craft lodestone and sell a stack,lodestone,8x chiseled_stone_bricks + 1x iron_ingot,298.0,14063.0,64,19072,880960,12.8,2070069,4140138,C,61.2,1122995,0.54,
CRAFT,craft diorite_wall and sell a stack,diorite_wall,6x diorite,1196.9,7813.0,64,76603,423429,11.5,1873568,2204198,B,68.4,1025780,0.55,
CRAFT,craft polished_andesite_stairs and sell a stack,polished_andesite_stairs,6x polished_andesite,2320.3,7031.0,64,148500,301484,8.3,1845044,2170640,B,98.2,1048318,0.57,
CRAFT,craft map and sell a stack,map,8x paper + 1x compass,1524.0,6953.0,64,97536,347456,6.0,1737280,3474560,C,1227.1,8882896,5.11,
CRAFT,craft nether_bricks and sell a stack,nether_bricks,4x nether_brick,1876.0,4688.0,64,120064,179968,6.0,1529728,1799680,B,150.9,961777,0.63,
CRAFT,craft orange_dye and sell a stack,orange_dye,1x red_dye + 1x yellow_dye,234.2,3000.0,64,14992,177008,6.0,1504568,1770080,B,154.7,969888,0.64,
BREW,"brew Slowness (splash), one potion per slot",potion,nether_wart + sugar + fermented_spider_eye + gunpowder + 3 bottles,447.2,350000,1,447,349553,7.0,1498083,2996167,C,3956.6,28813346,19.23,"price from his own realized sales, not market median"
CRAFT,craft polished_blackstone and sell a stack,polished_blackstone,4x blackstone,850.0,3125.0,64,54400,145600,6.0,1456000,1456000,A,377.5,2290024,1.57,
BREW,"brew Strength, one potion per slot",potion,nether_wart + blaze_powder + 3 bottles,277.8,333000,1,278,332722,7.0,1425952,2851904,C,3956.6,27426011,19.23,"price from his own realized sales, not market median"
BREW,"brew Water Breathing, one potion per slot",potion,nether_wart + pufferfish + 3 bottles,556.8,333000,1,557,332443,7.0,1424756,2849513,C,3956.6,27403013,19.23,"price from his own realized sales, not market median"
CRAFT,craft light_blue_wool and sell a stack,light_blue_wool,1x light_blue_dye + 1x black_wool,1277.0,6250.0,64,81728,318272,6.8,1401558,2803117,C,123.9,821343,0.59,
CRAFT,craft item_frame and sell a stack,item_frame,8x stick + 1x leather,323.0,4688.0,64,20672,279360,6.0,1396800,2793600,C,517.8,3013405,2.16,
CRAFT,craft red_nether_bricks and sell a stack,red_nether_bricks,2x nether_brick + 2x nether_wart,1042.0,7109.0,64,66688,388288,8.8,1331252,2662504,C,92.9,751512,0.56,
CRAFT,craft green_carpet and sell a stack,green_carpet,2x green_wool,334.1,15625.0,64,21380,978620,22.7,1290650,2581300,C,33.1,674999,0.52,
BREW,"brew Swiftness, one potion per slot",potion,nether_wart + sugar + 3 bottles,382.5,300000,1,382,299618,7.0,1284075,2568150,C,3956.6,24697221,19.23,"price from his own realized sales, not market median"
CRAFT,craft light_blue_terracotta and sell a stack,light_blue_terracotta,8x terracotta + 1x light_blue_dye,405.9,6250.0,64,25976,374024,15.8,1210592,1424226,B,48.8,646314,0.53,
CRAFT,craft red_wool and sell a stack,red_wool,1x red_dye + 1x black_wool,186.0,3891.0,64,11904,237120,6.0,1185600,2371200,C,205.1,1013333,0.85,
CRAFT,craft spruce_shelf and sell a stack,spruce_shelf,6x stripped_spruce_log,2343.8,6250.0,64,150000,250000,10.8,1179065,1387136,B,73.4,649605,0.55,
CRAFT,craft anvil and sell a stack,anvil,3x iron_block + 4x iron_ingot,8180.0,17000.0,64,523520,564480,14.5,1169695,2339389,C,53.4,628241,0.54,
CRAFT,craft prismarine and sell a stack,prismarine,4x prismarine_shard,92.0,4188.0,64,5888,262144,6.8,1148608,2297216,C,123.1,672529,0.59,
CRAFT,craft green_terracotta and sell a stack,green_terracotta,8x terracotta + 1x green_dye,347.6,3109.0,64,22248,176728,8.0,1132424,1332263,B,103.5,647574,0.57,
CRAFT,craft gray_terracotta and sell a stack,gray_terracotta,8x terracotta + 1x gray_dye,692.2,4813.0,64,44302,263730,11.9,1131540,1331224,B,66.1,617739,0.55,
CRAFT,craft barrel and sell a stack,barrel,6x spruce_planks + 2x spruce_slab,379.5,3906.0,64,24288,225696,6.0,1128480,2256960,C,266.2,1251511,1.11,
CRAFT,craft prismarine_bricks and sell a stack,prismarine_bricks,9x prismarine_shard,207.0,3750.0,64,13248,226752,6.1,1115505,2231009,C,141.2,667154,0.6,
CRAFT,craft cherry_boat and sell a stack,cherry_boat,5x cherry_planks,3906.2,250000.0,1,3906,246094,11.3,1113542,1310050,B,70.1,610979,0.55,
CRAFT,craft blackstone_slab and sell a stack,blackstone_slab,3x blackstone,425.0,3906.0,64,27200,222784,12.1,1108362,1108362,A,65.1,604287,0.55,
CRAFT,craft crafter and sell a stack,crafter,5x iron_ingot + 1x crafting_table + 2x redstone + 1x dropper,1832.8,5156.0,64,117297,212687,6.0,1063437,2126874,C,365.7,1620370,1.52,
CRAFT,craft black_terracotta and sell a stack,black_terracotta,8x terracotta + 1x black_dye,261.2,9219.0,64,16720,573296,16.4,1048282,2096564,C,46.7,558161,0.53,
CRAFT,craft iron_block and sell a stack,iron_block,9x iron_ingot,1530.0,4688.0,64,97920,202112,6.0,1010560,2021120,C,392.5,1652799,1.64,
CRAFT,craft honey_block and sell a stack,honey_block,4x honey_bottle,1500.0,5625.0,64,96000,264000,8.1,980439,1960878,C,101.7,559479,0.57,
CRAFT,craft red_terracotta and sell a stack,red_terracotta,8x terracotta + 1x red_dye,269.5,3125.0,64,17248,182752,9.6,973200,1144942,B,83.9,543333,0.56,
CRAFT,craft pink_terracotta and sell a stack,pink_terracotta,8x terracotta + 1x pink_dye,267.6,6219.0,64,17125,380891,20.0,968927,1139914,B,37.8,509897,0.53,
CRAFT,craft campfire and sell a stack,campfire,3x stick + 1x charcoal + 3x dark_oak_wood,190.0,8594.0,64,12160,537856,16.7,968457,1936915,C,46.0,515148,0.53,
CRAFT,craft ender_eye and sell a stack,ender_eye,1x ender_pearl + 1x blaze_powder,85.0,3109.0,64,5440,193536,6.0,967680,1935360,C,148.1,597064,0.62,
CRAFT,craft lapis_lazuli and sell a stack,lapis_lazuli,1x lapis_block,77.8,1563.0,64,4978,95054,6.0,950542,950542,A,453.5,1796036,1.89,
CRAFT,craft black_dye and sell a stack,black_dye,1x wither_rose,1.0,2969.0,64,64,189952,6.0,949760,1899520,C,202.6,801737,0.84,
