item,cls,source,price,lo,hi,pos_in_range,consumed,trades_per_day,units_per_day,basis
granite,RENEWABLE,farmable,781,547,781,100,,708,34103,last-15 spread
polished_granite,RENEWABLE,farmable,1000,750,1547,31,,408,24123,last-15 spread
diorite,RENEWABLE,farmable,5469,1875,7031,70,,2659,159811,last-15 spread
polished_diorite,RENEWABLE,farmable,1250,1250,1563,0,,2656,167527,last-15 spread
andesite,RENEWABLE,farmable,1563,781,2174,56,,1683,96696,last-15 spread
polished_andesite,RENEWABLE,farmable,1547,1547,1719,0,,2356,148049,last-15 spread
deepslate,RENEWABLE,farmable,453,313,453,100,,10414,572821,last-15 spread
cobbled_deepslate,RENEWABLE,farmable,306,234,313,91,,10773,662928,last-15 spread
calcite,RENEWABLE,farmable,1557,1172,1563,98,,3435,208680,last-15 spread
tuff,RENEWABLE,farmable,750,750,781,0,,3465,208020,last-15 spread
tuff_stairs,RENEWABLE,farmable,3906,3125,3906,100,,187,11772,last-15 spread
tuff_wall,RENEWABLE,farmable,3906,2656,15625,10,,224,14023,last-15 spread
chiseled_tuff,RENEWABLE,farmable,2656,1875,6563,17,,377,23016,last-15 spread
polished_tuff,RENEWABLE,farmable,2833,1875,7813,16,,1219,75186,last-15 spread
polished_tuff_slab,RENEWABLE,farmable,6641,4297,7813,67,,177,10202,last-15 spread
polished_tuff_wall,RENEWABLE,farmable,7813,7188,12500,12,,85,5370,last-15 spread
tuff_bricks,RENEWABLE,farmable,4688,3125,4688,100,,1936,118562,last-15 spread
tuff_brick_slab,RENEWABLE,farmable,6234,6234,10938,0,,105,6509,last-15 spread
tuff_brick_stairs,RENEWABLE,farmable,4375,3125,4688,80,,142,8556,last-15 spread
tuff_brick_wall,RENEWABLE,farmable,12500,6250,12500,100,,172,10837,last-15 spread
chiseled_tuff_bricks,RENEWABLE,farmable,3094,1719,3109,99,,709,43277,last-15 spread
dripstone_block,RENEWABLE,farmable,1316,625,10000,7,,526,24862,last-15 spread
grass_block,RENEWABLE,farmable,625,609,50000,0,,5852,323416,last-15 spread
dirt,RENEWABLE,farmable,625,469,781,50,,12938,712590,last-15 spread
coarse_dirt,RENEWABLE,farmable,1172,469,1563,64,,587,31654,last-15 spread
podzol,RENEWABLE,farmable,1172,1132,1547,10,,307,17657,last-15 spread
rooted_dirt,RENEWABLE,farmable,1406,1250,1563,50,,435,23546,last-15 spread
mud,RENEWABLE,farmable,3047,2641,7656,8,,4212,232764,last-15 spread
crimson_nylium,RENEWABLE,farmable,19999,3438,19999,100,,562,34765,last-15 spread
warped_nylium,RENEWABLE,farmable,8333,2344,50000,13,,422,25597,last-15 spread
cobblestone,RENEWABLE,farmable,156,96,200,58,,13874,837194,last-15 spread
oak_planks,RENEWABLE,farmable,305,303,313,20,,3226,197728,last-15 spread
spruce_planks,RENEWABLE,farmable,233,156,313,49,,7303,453483,last-15 spread
birch_planks,RENEWABLE,farmable,625,250,1563,29,,693,39042,last-15 spread
acacia_planks,RENEWABLE,farmable,781,313,1000,68,,237,13690,last-15 spread
cherry_planks,RENEWABLE,farmable,859,734,1563,15,,1292,79676,last-15 spread
dark_oak_planks,RENEWABLE,farmable,1250,234,1563,76,,1167,72454,last-15 spread
pale_oak_planks,RENEWABLE,farmable,781,764,781,100,,2773,175772,last-15 spread
mangrove_planks,RENEWABLE,farmable,1717,781,2058,73,,494,29993,last-15 spread
bamboo_planks,RENEWABLE,farmable,469,234,469,100,,1994,124927,last-15 spread
crimson_planks,RENEWABLE,farmable,1094,625,1563,50,,501,29768,last-15 spread
warped_planks,RENEWABLE,farmable,2188,1292,2344,85,,1063,65932,last-15 spread
bamboo_mosaic,RENEWABLE,farmable,1578,1547,2344,4,,142,8815,last-15 spread
oak_sapling,RENEWABLE,farmable,1000,1000,2308,0,,1085,29903,last-15 spread
spruce_sapling,RENEWABLE,farmable,1406,1391,1406,100,,1661,85482,last-15 spread
birch_sapling,RENEWABLE,farmable,3333,590,15000,19,,255,1763,last-15 spread
jungle_sapling,RENEWABLE,farmable,25000,8750,25000,100,,83,1037,last-15 spread
cherry_sapling,RENEWABLE,farmable,30000,9000,30000,100,,1103,31621,last-15 spread
dark_oak_sapling,RENEWABLE,farmable,4688,667,6731,66,,256,7648,last-15 spread
pale_oak_sapling,RENEWABLE,farmable,50000,8750,100000,45,,595,14080,last-15 spread
mangrove_propagule,RENEWABLE,farmable,6000,3000,10000,43,,416,4818,last-15 spread
sand,RENEWABLE,farmable,313,313,438,0,,9601,577405,last-15 spread
suspicious_sand,RENEWABLE,farmable,1000000,990000,1000000,100,,190,293,last-15 spread
suspicious_gravel,RENEWABLE,farmable,120000,109949,229941,8,,191,452,last-15 spread
gravel,RENEWABLE,farmable,609,313,654,87,,2915,165594,last-15 spread
coal_ore,RENEWABLE,farmable,1875,1429,3077,27,,656,19131,last-15 spread
deepslate_coal_ore,RENEWABLE,farmable,30000,20000,33333,75,,470,2800,last-15 spread
iron_ore,RENEWABLE,farmable,4182,2286,6000,51,,293,3684,last-15 spread
deepslate_iron_ore,RENEWABLE,farmable,5000,2500,5000,100,,327,6655,last-15 spread
copper_ore,RENEWABLE,farmable,1750,1000,2000,75,,168,3745,last-15 spread
deepslate_copper_ore,RENEWABLE,farmable,3759,1333,15000,18,,57,1227,last-15 spread
gold_ore,RENEWABLE,farmable,7500,4286,60000,6,,209,3801,last-15 spread
deepslate_gold_ore,RENEWABLE,farmable,6250,6250,10000,0,,868,15442,last-15 spread
redstone_ore,RENEWABLE,farmable,16667,9099,35000,29,,130,2995,last-15 spread
deepslate_redstone_ore,RENEWABLE,farmable,19000,2656,19000,100,,898,24543,last-15 spread
deepslate_emerald_ore,STRUCTURE,mountain (silk touch),1071000,999000,1071000,100,,769,1933,last-15 spread
lapis_ore,RENEWABLE,farmable,99000,50000,100000,98,,218,5800,last-15 spread
deepslate_lapis_ore,RENEWABLE,farmable,69000,6641,90000,75,,592,15454,last-15 spread
diamond_ore,RENEWABLE,farmable,149000,50000,150000,99,,404,4612,last-15 spread
deepslate_diamond_ore,RENEWABLE,farmable,19444,15217,23333,52,,4755,66587,last-15 spread
nether_gold_ore,RENEWABLE,farmable,4688,2857,15000,15,,213,5555,last-15 spread
nether_quartz_ore,RENEWABLE,farmable,15385,2500,40000,34,,463,16678,last-15 spread
ancient_debris,STRUCTURE,nether (mined),1500000,1200000,3900000,7,,2516,10173,33d candles
coal_block,RENEWABLE,farmable,7031,2000,298000,1,,3264,119166,11d candles
raw_iron_block,RENEWABLE,farmable,8953,7500,17143,15,,336,9111,last-15 spread
raw_copper_block,RENEWABLE,farmable,2500,2000,4138,23,,96,2734,last-15 spread
raw_gold_block,RENEWABLE,farmable,39000,31250,43699,62,,242,5544,last-15 spread
heavy_core,STRUCTURE,trial chamber (ominous vault),3899990,2900000,40000000,3,,758,1055,15d candles
amethyst_block,RENEWABLE,farmable,1563,1563,1786,0,,6112,313852,last-15 spread
iron_block,RENEWABLE,farmable,4688,1600,516000,3,,15090,251217,27d candles
gold_block,RENEWABLE,farmable,26563,9700,240000,13,,5842,151938,27d candles
diamond_block,RENEWABLE,farmable,48422,40000,250000,7,,11476,302490,27d candles
netherite_block,RENEWABLE,farmable,52000000,35500000,90000000,29,,1476,1548,33d candles
exposed_copper,RENEWABLE,farmable,43750,5000,128125,31,,41,1013,last-15 spread
chiseled_copper,RENEWABLE,farmable,7422,3125,9688,65,,26,1141,last-15 spread
exposed_chiseled_copper,RENEWABLE,farmable,70000,50000,400000,6,,8,260,last-15 spread
weathered_chiseled_copper,RENEWABLE,farmable,13000,13000,23600,0,,12,12,last-15 spread
oxidized_chiseled_copper,RENEWABLE,farmable,100000,50000,156250,47,,6,75,last-15 spread
cut_copper,RENEWABLE,farmable,8000,3000,13281,49,,50,2523,last-15 spread
exposed_cut_copper,RENEWABLE,farmable,182813,25000,345000,49,,1,64,last-15 spread
weathered_cut_copper,RENEWABLE,farmable,51724,18000,83333,52,,9,265,last-15 spread
oxidized_cut_copper,RENEWABLE,farmable,43750,31526,124844,13,,77,4130,last-15 spread
cut_copper_stairs,RENEWABLE,farmable,12500,12500,14453,0,,69,4035,last-15 spread
exposed_cut_copper_stairs,RENEWABLE,farmable,100000,50000,200000,33,,4,193,last-15 spread
weathered_cut_copper_stairs,RENEWABLE,farmable,75000,25000,618750,8,,3,123,last-15 spread
oxidized_cut_copper_stairs,RENEWABLE,farmable,20582,18000,32000,18,,40,550,last-15 spread
cut_copper_slab,RENEWABLE,farmable,9375,6818,10938,62,,38,2180,last-15 spread
exposed_cut_copper_slab,RENEWABLE,farmable,100000,10000,300000,31,,0,0,last-15 spread
weathered_cut_copper_slab,RENEWABLE,farmable,457621,120000,937500,41,,4,76,last-15 spread
oxidized_cut_copper_slab,RENEWABLE,farmable,14453,10000,50000,11,,32,983,last-15 spread
waxed_copper_block,RENEWABLE,farmable,3828,2969,7000,21,,601,29434,last-15 spread
waxed_exposed_copper,RENEWABLE,farmable,171875,67188,187500,87,,4,118,last-15 spread
waxed_weathered_copper,RENEWABLE,farmable,60938,19231,77969,71,,115,6714,last-15 spread
waxed_oxidized_copper,RENEWABLE,farmable,5938,1887,7016,79,,1537,70111,last-15 spread
waxed_chiseled_copper,RENEWABLE,farmable,6250,4545,31250,6,,158,2981,last-15 spread
waxed_exposed_chiseled_copper,RENEWABLE,farmable,33333,33000,106452,0,,1,1,last-15 spread
waxed_weathered_chiseled_copper,RENEWABLE,farmable,37292,25000,200000,7,,0,0,last-15 spread
waxed_oxidized_chiseled_copper,RENEWABLE,farmable,14063,3469,54688,21,,39,2067,last-15 spread
waxed_cut_copper,RENEWABLE,farmable,6349,3906,6563,92,,123,5504,last-15 spread
waxed_exposed_cut_copper,RENEWABLE,farmable,49900,49900,390625,0,,3,3,last-15 spread
waxed_cut_copper_stairs,RENEWABLE,farmable,15625,15609,23438,0,,89,3119,last-15 spread
waxed_exposed_cut_copper_stairs,RENEWABLE,farmable,54688,30000,156250,20,,12,388,last-15 spread
waxed_weathered_cut_copper_stairs,RENEWABLE,farmable,31250,31250,60938,0,,20,851,last-15 spread
waxed_oxidized_cut_copper_stairs,RENEWABLE,farmable,4688,4688,7578,0,,391,22659,last-15 spread
waxed_cut_copper_slab,RENEWABLE,farmable,13158,7000,30078,27,,50,986,last-15 spread
waxed_weathered_cut_copper_slab,RENEWABLE,farmable,68750,60938,121951,13,,8,443,last-15 spread
waxed_oxidized_cut_copper_slab,RENEWABLE,farmable,50000,13000,50000,100,,97,5831,last-15 spread
oak_log,RENEWABLE,farmable,625,625,672,0,,5428,292085,last-15 spread
spruce_log,RENEWABLE,farmable,328,100,24900,27,,15463,889378,9d candles
jungle_log,RENEWABLE,farmable,547,547,781,0,,1115,47753,last-15 spread
acacia_log,RENEWABLE,farmable,998,900,998,100,,609,33522,last-15 spread
cherry_log,RENEWABLE,farmable,1500,1500,1563,0,,2686,162749,last-15 spread
dark_oak_log,RENEWABLE,farmable,312,312,313,0,,2799,170443,last-15 spread
mangrove_log,RENEWABLE,farmable,3906,3750,4609,18,,1379,69094,last-15 spread
mangrove_roots,RENEWABLE,farmable,2500,1250,7500,20,,300,11572,last-15 spread
muddy_mangrove_roots,RENEWABLE,farmable,1053,313,2000,44,,224,7567,last-15 spread
crimson_stem,RENEWABLE,farmable,2344,2344,3125,0,,1609,95429,last-15 spread
warped_stem,RENEWABLE,farmable,2188,2188,2547,0,,2384,145634,last-15 spread
bamboo_block,RENEWABLE,farmable,594,500,200000,5,,2235,133218,10d candles
stripped_oak_log,RENEWABLE,farmable,25000,4688,50000,45,,686,40678,last-15 spread
stripped_spruce_log,RENEWABLE,farmable,2344,2313,3891,2,,1370,84906,last-15 spread
stripped_birch_log,RENEWABLE,farmable,5141,1923,5453,91,,660,38798,last-15 spread
stripped_jungle_log,RENEWABLE,farmable,11364,7813,14844,51,,115,6829,last-15 spread
stripped_acacia_log,RENEWABLE,farmable,3920,2344,7813,29,,59,3023,last-15 spread
stripped_cherry_log,RENEWABLE,farmable,4688,2586,5453,73,,252,11538,last-15 spread
stripped_dark_oak_log,RENEWABLE,farmable,7813,6016,7813,100,,400,25009,last-15 spread
stripped_pale_oak_log,RENEWABLE,farmable,6094,3906,6234,94,,927,56395,last-15 spread
stripped_mangrove_log,RENEWABLE,farmable,62500,15686,62500,100,,316,19183,last-15 spread
stripped_crimson_stem,RENEWABLE,farmable,6250,5417,9116,23,,119,7331,last-15 spread
stripped_warped_stem,RENEWABLE,farmable,9375,7813,12500,33,,407,22867,last-15 spread
stripped_oak_wood,RENEWABLE,farmable,8984,7422,15625,19,,173,10666,last-15 spread
stripped_spruce_wood,RENEWABLE,farmable,3125,3125,7021,0,,348,20328,last-15 spread
stripped_birch_wood,RENEWABLE,farmable,2344,2328,2732,4,,147,9016,last-15 spread
stripped_jungle_wood,RENEWABLE,farmable,21277,10938,93750,12,,26,1452,last-15 spread
stripped_acacia_wood,RENEWABLE,farmable,25000,14063,72000,19,,15,353,last-15 spread
stripped_cherry_wood,RENEWABLE,farmable,6250,3968,13281,25,,28,1604,last-15 spread
stripped_dark_oak_wood,RENEWABLE,farmable,14844,13929,23256,10,,66,3976,last-15 spread
stripped_pale_oak_wood,RENEWABLE,farmable,14047,10824,15625,67,,220,13445,last-15 spread
stripped_mangrove_wood,RENEWABLE,farmable,15625,6000,66667,16,,32,1770,last-15 spread
stripped_crimson_hyphae,RENEWABLE,farmable,45156,13781,54688,77,,24,1413,last-15 spread
stripped_warped_hyphae,RENEWABLE,farmable,15609,12500,18750,50,,90,3252,last-15 spread
oak_wood,RENEWABLE,farmable,3438,3125,3906,40,,442,27104,last-15 spread
spruce_wood,RENEWABLE,farmable,1563,1563,3125,0,,527,32882,last-15 spread
jungle_wood,RENEWABLE,farmable,7813,4688,15574,29,,115,6352,last-15 spread
acacia_wood,RENEWABLE,farmable,10000,7656,11719,58,,44,2420,last-15 spread
cherry_wood,RENEWABLE,farmable,4688,1563,12500,29,,159,9136,last-15 spread
pale_oak_wood,RENEWABLE,farmable,7813,3578,31250,15,,132,8101,last-15 spread
dark_oak_wood,RENEWABLE,farmable,15625,1738,23438,64,,89,5317,last-15 spread
crimson_hyphae,RENEWABLE,farmable,4688,3125,4688,100,,284,17585,last-15 spread
warped_hyphae,RENEWABLE,farmable,10906,8594,10906,100,,196,12050,last-15 spread
oak_leaves,RENEWABLE,farmable,469,438,469,100,,5161,317418,last-15 spread
spruce_leaves,RENEWABLE,farmable,547,311,781,50,,848,52445,last-15 spread
birch_leaves,RENEWABLE,farmable,625,313,781,67,,252,14132,last-15 spread
jungle_leaves,RENEWABLE,farmable,827,391,3906,12,,461,28314,last-15 spread
acacia_leaves,RENEWABLE,farmable,4688,1351,12500,30,,75,3945,last-15 spread
dark_oak_leaves,RENEWABLE,farmable,3120,1250,6250,37,,602,37502,last-15 spread
pale_oak_leaves,RENEWABLE,farmable,1923,1422,6250,10,,1068,64919,last-15 spread
mangrove_leaves,RENEWABLE,farmable,859,781,859,100,,377,23535,last-15 spread
azalea_leaves,RENEWABLE,farmable,438,313,625,40,,894,54707,last-15 spread
flowering_azalea_leaves,RENEWABLE,farmable,1875,1328,2679,40,,1152,41910,last-15 spread
sponge,STRUCTURE,ocean monument,339000,200000,745000,25,,2699,20495,14d candles
wet_sponge,STRUCTURE,ocean monument,350000,199000,930000,14,,536,1305,14d candles
glass,RENEWABLE,farmable,688,688,703,0,,17610,806810,last-15 spread
tinted_glass,RENEWABLE,farmable,1528,1528,1719,0,,2035,119018,last-15 spread
lapis_block,RENEWABLE,farmable,1875,600,600000,7,,2051,96025,27d candles
sandstone,RENEWABLE,farmable,313,234,391,50,,3249,200334,last-15 spread
chiseled_sandstone,RENEWABLE,farmable,2931,1563,3125,88,,302,18855,last-15 spread
cut_sandstone,RENEWABLE,farmable,5556,781,7797,68,,477,29015,last-15 spread
cobweb,RENEWABLE,farmable,3906,3125,25000,4,,3002,95898,last-15 spread
short_grass,RENEWABLE,farmable,938,781,2000,13,,488,16230,last-15 spread
fern,RENEWABLE,farmable,781,417,781,100,,562,14193,last-15 spread
bush,RENEWABLE,farmable,31250,391,10000000,24,,10,442,6d candles
azalea,RENEWABLE,farmable,500,200,5000,6,,358,13870,last-15 spread
flowering_azalea,RENEWABLE,farmable,15000,8333,18000,69,,873,27182,last-15 spread
dead_bush,RENEWABLE,farmable,1866,1377,45000,1,,213,8158,last-15 spread
firefly_bush,RENEWABLE,farmable,31250,3109,200000,14,,129,7632,last-15 spread
short_dry_grass,RENEWABLE,farmable,6250,7812,800000000,100,,75,2877,6d candles
tall_dry_grass,RENEWABLE,farmable,2344,7812,15625000,1,,403,15809,5d candles
sea_pickle,RENEWABLE,farmable,156,62,156,100,,5945,369936,last-15 spread
orange_wool,RENEWABLE,farmable,5375,5375,6094,0,,909,49881,last-15 spread
light_blue_wool,RENEWABLE,farmable,6563,6250,6641,80,,1277,79277,last-15 spread
yellow_wool,RENEWABLE,farmable,5469,4375,12500,13,,1041,63047,last-15 spread
lime_wool,RENEWABLE,farmable,3125,3016,3125,100,,912,56047,last-15 spread
pink_wool,RENEWABLE,farmable,2188,1547,3047,43,,1099,64510,last-15 spread
gray_wool,RENEWABLE,farmable,3109,2344,3125,98,,1632,97253,last-15 spread
light_gray_wool,RENEWABLE,farmable,1875,1875,2000,0,,1356,60397,last-15 spread
cyan_wool,RENEWABLE,farmable,3906,2344,6250,40,,561,34651,last-15 spread
purple_wool,RENEWABLE,farmable,3031,2980,3031,100,,804,48764,last-15 spread
brown_wool,RENEWABLE,farmable,5000,4688,12109,4,,621,35931,last-15 spread
red_wool,RENEWABLE,farmable,3906,3891,4656,2,,2125,131282,last-15 spread
black_wool,RENEWABLE,farmable,2969,1703,7797,21,,3041,183946,last-15 spread
dandelion,RENEWABLE,farmable,781,438,10000,4,,616,18316,last-15 spread
open_eyeblossom,RENEWABLE,farmable,40000,35000,80000,11,,144,791,last-15 spread
closed_eyeblossom,RENEWABLE,farmable,80000,6250,100000,79,,65,2621,last-15 spread
poppy,RENEWABLE,farmable,1219,1000,1327,67,,991,42961,last-15 spread
blue_orchid,RENEWABLE,farmable,2969,2344,3125,80,,576,33029,last-15 spread
allium,RENEWABLE,farmable,1000,1000,3125,0,,184,5157,last-15 spread
azure_bluet,RENEWABLE,farmable,1250,781,5000,11,,230,5219,last-15 spread
red_tulip,RENEWABLE,farmable,45000,1816,50000,90,,178,5428,last-15 spread
orange_tulip,RENEWABLE,farmable,1563,781,5000,19,,216,5500,last-15 spread
white_tulip,RENEWABLE,farmable,2000,1094,4609,26,,202,5486,last-15 spread
pink_tulip,RENEWABLE,farmable,45000,4625,50000,89,,178,4809,last-15 spread
oxeye_daisy,RENEWABLE,farmable,4531,3333,10000,18,,221,2641,last-15 spread
