rank,player,balance,snapshot
1,Abuodee,$2.4T,2026-09-13
2,Wampiptiii01,$2T,2026-09-13
3,Ikeacpvp,$2T,2026-09-13
4,NeeIsNee,$1.4T,2026-09-13
5,Jeadox,$1.3T,2026-09-13
6,BC3500,$1.1T,2026-09-13
7,KlingMC,$1T,2026-09-13
8,Milezz18819,$925.9B,2026-09-13
9,Cinnamooon01,$760.1B,2026-09-13
10,Leroxcpvp,$696.3B,2026-09-13
11,C_H_R_O_N_I_C,$602.3B,2026-09-13
12,cayyyo,$514.1B,2026-09-13
13,0823k,$512.3B,2026-09-13
14,Rhylm,$478.2B,2026-09-13
15,TobVi,$418B,2026-09-13
16,Rodis17,$400.7B,2026-09-13
17,13v3,$379.6B,2026-09-13
18,buygilded,$376.4B,2026-09-13
19,Mushymoshh,$371.6B,2026-09-13
20,cutiewsp,$364B,2026-09-13
21,Y0ruty,$341.7B,2026-09-13
22,hamster_cpvp,$311.5B,2026-09-13
23,DonutGrandma,$307.4B,2026-09-13
24,HaitchL,$307.4B,2026-09-13
25,N1Kzzz,$305.2B,2026-09-13
26,Rinopete,$301.4B,2026-09-13
27,IcedDiamonds,$300.2B,2026-09-13
28,VoidView,$295.5B,2026-09-13
29,Megabean_,$279.7B,2026-09-13
30,zM0spo,$275.5B,2026-09-13
31,Jakcpvp,$250.6B,2026-09-13
32,sdqer,$244.1B,2026-09-13
33,FissionAi,$238.2B,2026-09-13
34,picklepicking67,$238B,2026-09-13
35,Zenux101,$237.5B,2026-09-13
36,ShortWaffel,$234.3B,2026-09-13
37,Lepiq,$234.2B,2026-09-13
38,chron1cles,$232B,2026-09-13
39,Luky_Nuga,$220.1B,2026-09-13
40,Shlumbiz,$207.2B,2026-09-13
41,tralolero,$205.8B,2026-09-13
42,EzebMc_TT,$205.3B,2026-09-13
43,OarisRose,$203.8B,2026-09-13
44,Cherrypie,$200.3B,2026-09-13
45,Ehxy,$198.3B,2026-09-13
46,Ehxy,$198.3B,2026-09-13
47,shlawgwha,$190.8B,2026-09-13
48,xSunnyGG,$178.6B,2026-09-13
49,GnawzyyMC,$177.2B,2026-09-13
50,Dwomix,$174B,2026-09-13
51,gogman1,$173.6B,2026-09-13
52,lwhf,$173.3B,2026-09-13
53,ItzMonkey__,$168.5B,2026-09-13
54,Lapeac,$166B,2026-09-13
55,NFLManiac7,$165.2B,2026-09-13
56,Seegurker,$162B,2026-09-13
57,Squintom,$159B,2026-09-13
58,vexrum,$158.1B,2026-09-13
59,Orcxcpvp,$153.1B,2026-09-13
60,verycooltiger,$150.9B,2026-09-13
61,7zSully,$150.8B,2026-09-13
62,PetersNots,$148.1B,2026-09-13
63,BMYONFIRE,$144.1B,2026-09-13
64,ItzIran,$143B,2026-09-13
65,Pryvtfor3stgump,$142.8B,2026-09-13
66,AmethystCPVP,$139.3B,2026-09-13
67,zombs0,$138B,2026-09-13
68,lutic_frutic,$137.4B,2026-09-13
69,LrexTTV,$136.6B,2026-09-13
70,iluvvvvfood,$132.8B,2026-09-13
71,wroxry,$132.6B,2026-09-13
72,j73,$131.1B,2026-09-13
73,CutieAce,$128.9B,2026-09-13
74,ilovestar,$128.6B,2026-09-13
75,fearshqipez,$128.4B,2026-09-13
76,Penquinfn1,$127.8B,2026-09-13
77,W1zoX_,$122.2B,2026-09-13
78,StrawBerry6767,$121.2B,2026-09-13
79,DrokeMc,$120.8B,2026-09-13
80,Connorxzq,$120.4B,2026-09-13
81,OnyxIsHard,$114.4B,2026-09-13
82,Mons1tr,$114.3B,2026-09-13
83,MrBeyBladeYT,$114.3B,2026-09-13
84,NoTimeToLose,$113.3B,2026-09-13
85,o_many_o,$113.2B,2026-09-13
86,Itz_jonny12,$111.8B,2026-09-13
87,TnuttThaGoat,$111.4B,2026-09-13
88,Fijiful,$110.9B,2026-09-13
89,Warder_2,$110.6B,2026-09-13
90,RoscoBTW,$109.9B,2026-09-13
91,RoscoBTW,$110.4B,2026-09-13
92,Mafino1111,$109.8B,2026-09-13
93,tosm,$109.1B,2026-09-13
94,LaPeaceMC,$109B,2026-09-13
95,okvain,$109B,2026-09-13
96,ChaseOnMC,$107.5B,2026-09-13
97,Atomix31,$107.4B,2026-09-13
98,Mituka_,$106.5B,2026-09-13
99,LerdiBitesBack,$104.7B,2026-09-13
100,Purrfectttt,$102.9B,2026-09-13
