potion,inputs,cost_per_brew,cost_per_potion,price,revenue_per_brew,profit_per_brew,profit_per_slot,margin_x,basis
Slowness (splash),nether_wart + sugar + fermented_spider_eye + gunpowder,1342,447,350000,1050000,1048658,349553,783,"ask 350K x2, 2026-08-30"
Strength,nether_wart + blaze_powder,834,278,333000,999000,998166,332722,1199,"sold 300K and 333K x2, 2026-08-29/30"
Water Breathing,nether_wart + pufferfish,1670,557,333000,999000,997330,332443,598,"sold 333K, 2026-08-29"
Swiftness,nether_wart + sugar,1148,382,300000,900000,898852,299618,784,"sold 300K, 2026-08-30 00:33"
Fire Resistance,nether_wart + magma_cream,840,280,100000,300000,299160,99720,357,"his ask 100K, unsold at time of writing"
Weakness,fermented_spider_eye,899,300,100000,300000,299101,99700,334,no realized sale; market blend
Healing,nether_wart + glistering_melon_slice,954,318,100000,300000,299046,99682,315,no realized sale; market blend
Night Vision,nether_wart + golden_carrot,1204,401,100000,300000,298796,99599,249,no realized sale; market blend
Invisibility,nether_wart + golden_carrot + fermented_spider_eye,1351,450,100000,300000,298649,99550,222,bought at 15-30K in his log
Poison,nether_wart + spider_eye,2132,711,100000,300000,297868,99289,141,no realized sale; lingering sold 90K
Regeneration,nether_wart + ghast_tear,10804,3601,100000,300000,289196,96399,28,no realized sale; market blend
