id,name,display,stack,ah_d_price,ah_d_vol,ah_d_trades,ah_d_min,ah_d_max,ah_ds_price,ah_ds_vol,ah_ds_trades,ah_stack_unit,ah_h_price,ah_h_vol,ah_h_trades,jp_last_unit,jp_last_count,jp_volume,ls_ah_floor,ls_order_bid,ls_order_bid_high,ls_updated,fin_order_realistic,fin_order_instant,fin_order_top5,fin_order_median,fin_order_count,fin_fill_rate,fin_liq,fin_ah_last,log_bought_unit_med,log_bought_n,log_listed_unit_med,log_listed_n,base_sell,n_tx,tx_med,tx_p25,tx_p75,tx_min,n_stack,tx_stack_med,n_single,tx_single_med,tx_newest_ms,enchantable,ah_sell_unit,sell_basis,ah_sell_single,ah_buy_unit,order_buy,order_buy_src,best_buy,best_buy_src
0,air,Air,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1,stone,Stone,64,508.0,737837.0,11820.0,20.0,1000000.0,29565.0,722432.0,11288.0,461.95,30207.0,201802.0,3246.0,546.86,64,17121,,,,,14,15,14.5,6,34,61.1,77,231.25,,,,,,15,547.0,547.0,547.0,547.0,15,547.0,0,,1788026570112,0,547.0,tx_stack_med,508.0,461.95,14,finance_jun25,14,orders
2,granite,Granite,64,1616.0,34103.0,708.0,20.5,390625.0,112714.0,28544.0,446.0,1761.16,997.0,6386.0,135.0,434.78,23,895,,,,,,,,,,,,,,,,,,15,781.0,547.0,781.0,20.0,11,781.0,0,,1788025956722,0,781.0,tx_stack_med,1616.0,434.78,,,434.78,ah
3,polished_granite,Polished Granite,64,3110.0,24123.0,408.0,31.25,310938.0,206186.0,22336.0,349.0,3221.66,1359.0,5600.0,91.0,1711.86,59,315,,,,,,,,,,,,,,,,,,15,1000.0,750.0,1547.0,234.0,11,1000.0,0,,1788025912590,0,1000.0,tx_stack_med,3110.0,1000.0,,,1000.0,ah
4,diorite,Diorite,64,1203.0,159811.0,2659.0,25.0,156250.0,76603.0,153280.0,2395.0,1196.92,1566.0,35164.0,593.0,5468.75,64,2200,,,,,,,,,,,,,,,,,,15,5469.0,1875.0,7031.0,995.0,14,5469.0,0,,1788026408273,0,5469.0,tx_stack_med,1203.0,1196.92,,,1196.92,ah
5,polished_diorite,Polished Diorite,64,1511.0,167527.0,2656.0,78.12,25000.0,96817.0,164864.0,2576.0,1512.77,1238.0,52200.0,826.0,1171.88,64,3203,,,,,,,,,,,,,,,,,,15,1250.0,1250.0,1563.0,1172.0,15,1250.0,0,,1788026572756,0,1250.0,tx_stack_med,1511.0,1171.88,,,1171.88,ah
6,andesite,Andesite,64,1749.0,96696.0,1683.0,20.83,100000.0,110620.0,91008.0,1422.0,1728.44,1631.0,20747.0,372.0,2173.91,46,1477,,,,,11,11,11,1,7,78.9,87,,,,,,,15,1563.0,781.0,2174.0,62.5,11,1563.0,0,,1788026363188,0,1563.0,tx_stack_med,1749.0,1563.0,11,finance_jun25,11,orders
7,polished_andesite,Polished Andesite,64,2579.0,148049.0,2356.0,33.33,80000.0,165642.0,145856.0,2279.0,2588.16,2630.0,27345.0,446.0,1546.88,64,2688,,,,,,,,,,,,,,,,,,15,1547.0,1547.0,1719.0,1547.0,15,1547.0,0,,1788026553021,0,1547.0,tx_stack_med,2579.0,1546.88,,,1546.88,ah
8,deepslate,Deepslate,64,252.0,572821.0,10414.0,15.62,1000000.0,14310.0,476416.0,7444.0,223.59,277.0,172006.0,3065.0,454.55,44,8090,,,,,,,,1,3,,,,,,,,,15,453.0,313.0,453.0,313.0,13,453.0,0,,1788026163808,0,453.0,tx_stack_med,252.0,223.59,,,223.59,ah
9,cobbled_deepslate,Cobbled Deepslate,64,167.0,662928.0,10773.0,21.87,7000000.0,9368.0,629056.0,9829.0,146.38,192.0,165973.0,2704.0,312.5,64,13144,,,,,10,10,10,6,15,83.9,90,151.56,73.4,1,,,,15,306.0,234.0,313.0,167.0,12,313.0,0,,1788026419041,0,313.0,tx_stack_med,167.0,146.38,10,finance_jun25,10,orders
