output,out_n,inputs,cost,ah_median,ah_conservative,profit_per_craft_con,margin_pct,trades_per_day,units_per_day,day_cap_con,input_price_stale,flag
emerald_block,1,emeraldx9@556o,5004.0,27969.0,27969.0,22965.0,458.9,6385,230120,5284705800,yes,
map,1,paperx8@103o + compassx1@700o,1524.0,6953.0,6953.0,5429.0,356.2,37807,785373,4263790017,yes,
respawn_anchor,1,crying_obsidianx6@201o + glowstonex3@430o,2496.0,21873.0,21873.0,19377.0,776.3,5522,164388,3185346276,yes,
gold_block,1,gold_ingotx9@600o,5400.0,23438.0,23438.0,18038.0,334.0,5842,151938,2740657644,yes,
tnt,1,gunpowderx5@47o + red_sandx4@253o,1247.0,3906.0,3906.0,2659.0,213.2,22975,871838,2318182368,yes,
sea_lantern,1,prismarine_shardx4@23o + prismarine_crystalsx5@75o,467.0,9375.0,9375.0,8908.0,1907.5,6277,185042,1648354136,yes,stack-median vs last-sale disagree (9375 vs 80000)
item_frame,1,stickx8@5o + leatherx1@283o,323.0,4688.0,4688.0,4365.0,1351.4,15166,331371,1446434415,yes,stack-median vs last-sale disagree (4688 vs 13000)
shulker_box,1,shulker_shellx2@2800o + chestx1@558a,6158.2,49900.0,40000.0,33841.8,549.5,26223,26223,887432735,,
wind_charge,4,breeze_rodx1@15700o,15700.0,6250.0,6250.0,9300.0,59.2,9159,366527,852175275,yes,
iron_block,1,iron_ingotx9@170o,1530.0,4688.0,4688.0,3158.0,206.4,15090,251217,793343286,yes,stack-median vs last-sale disagree (4688 vs 12500)
silence_armor_trim_smithing_template,2,diamondx7@5713a + silence_armor_trim_smithing_templatex1@21000o + cobbled_deepslatex1@10o,60998.9,46719.0,46719.0,32439.1,53.2,9278,48805,791595138,yes,
crafter,1,iron_ingotx5@170o + crafting_tablex1@25o + redstonex2@361a + dropperx1@236o,1832.8,5156.0,5156.0,3323.2,181.3,8329,234042,777777736,yes,stack-median vs last-sale disagree (5156 vs 139000)
polished_blackstone_bricks,4,polished_blackstonex4@312o,1248.0,3078.0,2797.0,9940.0,796.5,4832,286112,710988320,yes,
black_stained_glass,8,glassx8@280o + black_dyex1@90o,2330.0,3125.0,2250.0,15670.0,672.5,5674,347192,680062330,yes,
barrel,1,spruce_planksx6@32o + spruce_slabx2@94a,379.5,3906.0,3906.0,3526.5,929.2,6782,170346,600725169,yes,stack-median vs last-sale disagree (3906 vs 15000)
bread,1,wheatx3@225o,675.0,2547.0,2547.0,1872.0,277.3,6565,320708,600365376,yes,
