item,stack,order_bid,ah_median,ah_conservative,spread_con,spread_con_pct,per_stack_profit_con,capital_per_stack,trades_per_day,units_per_day,day_cap_con,est_minutes_to_sell_stack,profit_per_slot_hour,profit_per_hour_18_slots,flag
map,64,3900.0,6953.0,6953.0,3053.0,78.3,195392,249600,37807,785373,2397743769,5.0,1172352,21102336,
tnt,64,1700.0,3906.0,3906.0,2206.0,129.8,141184,108800,22975,871838,1923274628,5.0,847104,15247872,
emerald_block,64,21100.0,27969.0,27969.0,6869.0,32.6,439616,1350400,6385,230120,1580694280,5.0,2637696,47478528,
enchanted_golden_apple,64,1500000.0,1593750.0,1593750.0,93750.0,6.2,6000000,96000000,2378,16384,1536000000,5.0,36000000,648000000,
diamond_block,64,44600.0,48422.0,48422.0,3822.0,8.6,244608,2854400,11476,302490,1156116780,5.0,1467648,26417664,
shulker_box,1,5000.0,49900.0,40000.0,35000.0,700.0,35000,5000,26223,26223,917805000,5.0,210000,3780000,
blackstone,64,850.0,3125.0,3125.0,2275.0,267.6,145600,54400,5850,351546,799767150,5.0,873600,15724800,
respawn_anchor,64,17700.0,21873.0,21873.0,4173.0,23.6,267072,1132800,5522,164388,685991124,5.0,1602432,28843776,
iron_block,64,2500.0,4688.0,4688.0,2188.0,87.5,140032,160000,15090,251217,549662796,5.0,840192,15123456,stack-median vs last-sale disagree (4688 vs 12500)
totem_of_undying,1,103000.0,150000.0,125000.0,22000.0,21.4,22000,103000,24083,24083,529826000,5.0,132000,2376000,
gold_block,64,20500.0,23438.0,23438.0,2938.0,14.3,188032,1312000,5842,151938,446393844,5.0,1128192,20307456,
ender_pearl,16,55.0,938.0,938.0,883.0,1605.5,14128,880,35849,494027,436225841,5.0,84768,1525824,
crafter,64,3700.0,5156.0,5156.0,1456.0,39.4,93184,236800,8329,234042,340765152,5.0,559104,10063872,stack-median vs last-sale disagree (5156 vs 139000)
obsidian,64,601.0,1094.0,1094.0,493.0,82.0,31552,38464,23728,630640,310905520,5.0,189312,3407616,stack-median vs last-sale disagree (1094 vs 6250)
observer,64,1700.0,2172.0,2172.0,472.0,27.8,30208,108800,22683,494942,233612624,5.0,181248,3262464,stack-median vs last-sale disagree (2172 vs 25000)
bone_block,64,445.0,771.0,763.0,318.0,71.5,20352,28480,11476,625747,198987546,5.0,122112,2198016,
soul_sand,64,85.0,781.0,781.0,696.0,818.8,44544,5440,12778,282456,196589376,5.0,267264,4810752,stack-median vs last-sale disagree (781 vs 40000)
coal_block,64,1600.0,7031.0,3140.0,1540.0,96.2,98560,102400,3264,119166,183515640,5.0,591360,10644480,stack-median vs last-sale disagree (7031 vs 59000)
shulker_shell,64,2800.0,4688.0,4141.0,1341.0,47.9,85824,179200,2180,126728,169942248,5.0,514944,9268992,
dispenser,64,3000.0,4500.0,3875.0,875.0,29.2,56000,192000,12189,190276,166491500,5.0,336000,6048000,
bone,64,137.0,703.0,625.0,488.0,356.2,31232,8768,4790,286684,139901792,5.0,187392,3373056,stack-median vs last-sale disagree (703 vs 161)
dropper,64,236.0,780.0,780.0,544.0,230.5,34816,15104,6550,219275,119285600,5.0,208896,3760128,
lapis_block,64,700.0,1875.0,1875.0,1175.0,167.9,75200,44800,2051,96025,112829375,5.0,451200,8121600,
spruce_log,64,72.0,328.0,192.0,120.0,166.7,7680,4608,15463,889378,106725360,5.0,46080,829440,
ghast_tear,64,10000.0,15600.0,15600.0,5600.0,56.0,358400,640000,634,18820,105392000,5.0,2150400,38707200,
bamboo_block,64,133.0,594.0,547.0,414.0,311.3,26496,8512,2235,133218,55152252,5.0,158976,2861568,stack-median vs last-sale disagree (594 vs 333)
bamboo,64,14.0,93.75,93.75,79.8,569.6,5104,896,5824,350849,27980208,5.0,30624,551232,
pink_petals,64,6.0,305.0,156.0,150.0,2500.0,9600,384,1779,108244,16236600,5.0,57600,1036800,
creaking_heart,64,1200.0,4063.0,3906.0,2706.0,225.5,173184,76800,246,4927,13332462,11.7,887568,15976224,stack-median vs last-sale disagree (4063 vs 50000)
tall_dry_grass,64,28.0,781.0,625.0,597.0,2132.1,38208,1792,403,15809,9437973,7.1,229248,4126464,stack-median vs last-sale disagree (781 vs 2344)
leaf_litter,64,20.0,1563.0,1561.0,1541.0,7705.0,98624,1280,97,5206,8022446,29.7,199303,3587448,
bush,64,51.0,9375.0,9375.0,9324.0,18282.4,596736,3264,10,442,4121208,288.0,124320,2237760,
short_dry_grass,64,500.0,1164.0,1164.0,664.0,132.8,42496,32000,75,2877,1910328,38.4,66400,1195200,stack-median vs last-sale disagree (1164 vs 25000)
