name,worth,display
dragon_egg,6400000000,Dragon Egg
netherite_block,675000,Block of Netherite
elytra,90000,Elytra
netherite_ingot,75000,Netherite Ingot
trident,30000,Trident
beacon,22500,Beacon
netherite_scrap,9000,Netherite Scrap
netherite_chestplate,4200,Netherite Chestplate
netherite_leggings,3900,Netherite Leggings
netherite_helmet,3300,Netherite Helmet
diamond_block,3300,Block of Diamond
wither_skeleton_skull,3000,Wither Skeleton Skull
heavy_core,3000,Heavy Core
skeleton_skull,3000,Skeleton Skull
dragon_head,3000,Dragon Head
creeper_head,3000,Creeper Head
netherite_boots,3000,Netherite Boots
deepslate_emerald_ore,3000,Deepslate Emerald Ore
zombie_head,3000,Zombie Head
ancient_debris,1800,Ancient Debris
conduit,1600,Conduit
saddle,1500,Saddle
diamond_horse_armor,1500,Diamond Horse Armor
enchanting_table,1500,Enchanting Table
sponge,1500,Sponge
redstone_block,1300,Block of Redstone
heart_of_the_sea,1200,Heart of the Sea
wet_sponge,1200,Wet Sponge
raw_iron_block,1000,Block of Raw Iron
raw_gold_block,1000,Block of Raw Gold
raw_copper_block,1000,Block of Raw Copper
golden_horse_armor,900,Golden Horse Armor
netherite_pickaxe,900,Netherite Pickaxe
netherite_axe,900,Netherite Axe
target,810,Target
totem_of_undying,750,Totem of Undying
dried_kelp_block,750,Dried Kelp Block
name_tag,600,Name Tag
turtle_helmet,600,Turtle Shell
amethyst_block,600,Block of Amethyst
piglin_head,600,Piglin Head
cake,540,Cake
hay_block,510,Hay Bale
glow_ink_sac,450,Glow Ink Sac
ender_chest,450,Ender Chest
repeater,390,Redstone Repeater
observer,375,Observer
diamond,360,Diamond
anvil,360,Anvil
sea_lantern,330,Sea Lantern
coal_block,330,Block of Coal
nautilus_shell,300,Nautilus Shell
netherite_shovel,300,Netherite Shovel
iron_horse_armor,300,Iron Horse Armor
diamond_ore,300,Diamond Ore
bee_nest,300,Bee Nest
beehive,300,Beehive
bookshelf,300,Bookshelf
creaking_heart,300,Creaking Heart
jukebox,300,Jukebox
lodestone,300,Lodestone
respawn_anchor,300,Respawn Anchor
sticky_piston,300,Sticky Piston
piston,255,Piston
black_shulker_box,225,Black Shulker Box
blue_ice,225,Blue Ice
magenta_shulker_box,225,Magenta Shulker Box
lime_shulker_box,225,Lime Shulker Box
emerald_block,216,Block of Emerald
lapis_block,216,Block of Lapis Lazuli
slime_block,180,Slime Block
recovery_compass,150,Recovery Compass
spyglass,150,Spyglass
ink_sac,150,Ink Sac
redstone,150,Redstone Dust
shulker_shell,150,Shulker Shell
dispenser,150,Dispenser
black_banner,150,Black Banner
lightning_rod,150,Lightning Rod
lime_banner,150,Lime Banner
sculk_sensor,150,Sculk Sensor
carved_pumpkin,144,Carved Pumpkin
blue_bed,135,Blue Bed
tnt,130,TNT
chiseled_bookshelf,120,Chiseled Bookshelf
bell,120,Bell
resin_block,108,Block of Resin
deepslate_lapis_ore,108,Deepslate Lapis Lazuli Ore
deepslate_gold_ore,102,Deepslate Gold Ore
sniffer_egg,90,Sniffer Egg
redstone_lamp,90,Redstone Lamp
note_block,90,Note Block
compass,90,Compass
coal_ore,84,Coal Ore
axolotl_bucket,75,Bucket of Axolotl
turtle_egg,60,Turtle Egg
black_candle,54,Black Candle
blue_candle,54,Blue Candle
stripped_spruce_log,48,Stripped Spruce Log
stripped_birch_log,48,Stripped Birch Log
wooden_sword,30,Wooden Sword
stone_sword,30,Stone Sword
dark_oak_wood,24,Dark Oak Wood
dead_tube_coral_block,24,Dead Tube Coral Block
crimson_hyphae,24,Crimson Hyphae
fire_coral_block,24,Fire Coral Block
salmon,18,Raw Salmon
flint_and_steel,18,Flint and Steel
quartz,15,Nether Quartz
iron_ingot,15,Iron Ingot
melon_seeds,13,Melon Seeds
crimson_fence,13,Crimson Fence
crimson_fence_gate,12,Crimson Fence Gate
nether_brick_slab,12,Nether Brick Slab
green_concrete_powder,12,Green Concrete Powder
polished_diorite_stairs,12,Polished Diorite Stairs
nether_brick_stairs,12,Nether Brick Stairs
spruce_pressure_plate,12,Spruce Pressure Plate
polished_granite_slab,12,Polished Granite Slab
waxed_oxidized_copper_trapdoor,12,Waxed Oxidized Copper Trapdoor
spruce_slab,12,Spruce Slab
waxed_oxidized_cut_copper_slab,12,Waxed Oxidized Cut Copper Slab
glow_berries,12,Glow Berries
birch_trapdoor,12,Birch Trapdoor
black_concrete_powder,12,Black Concrete Powder
gray_wool,12,Gray Wool
dark_prismarine,9,Dark Prismarine
glass_pane,9,Glass Pane
hanging_roots,6,Hanging Roots
smooth_quartz_slab,6,Smooth Quartz Slab
clay_ball,6,Clay Ball
stone_button,6,Stone Button
yellow_dye,3,Yellow Dye
white_dye,3,White Dye
porkchop,0.6,Raw Porkchop
